sensor_type,timestamp_ns,sensor_time_ns,val_x,val_y,val_z
ACCEL,110031850272076,110031842851712,0.0712275,-0.11851298,9.697116
GYRO,110031850278482,110031842851712,-6.6578976E-4,0.0010652636,-0.0
ACCEL,110031850284940,110031845358691,0.05925649,-0.11372458,9.694721
GYRO,110031850291034,110031845358691,-0.0017310535,0.0010652636,-0.0010652636
ACCEL,110031850324159,110031847865670,0.073621705,-0.11611878,9.68275
GYRO,110031850337076,110031847865670,3.9947388E-4,0.0010652636,-0.0010652636
ACCEL,110031853036034,110031850372649,0.08559271,-0.12808979,9.69951
GYRO,110031853130357,110031850372649,3.9947388E-4,0.0010652636,-0.0010652636
ACCEL,110031855301243,110031852879628,0.08798691,-0.11611878,9.706693
GYRO,110031855392493,110031852879628,3.9947388E-4,-0.0010652636,0.0010652636
ACCEL,110031857947701,110031855386608,0.076015905,-0.10654198,9.706693
GYRO,110031858049003,110031855386608,-6.6578976E-4,-0.0021305273,-0.0
ACCEL,110031860581555,110031857893587,0.0712275,-0.10414778,9.6923275
GYRO,110031860767232,110031857893587,3.9947388E-4,-0.0010652636,-0.0010652636
ACCEL,110031862702909,110031860400566,0.076015905,-0.11851298,9.68275
GYRO,110031862799836,110031860400566,-6.6578976E-4,-0.0,0.0010652636
ACCEL,110031865549628,110031862907545,0.08319851,-0.12090719,9.697116
GYRO,110031865773847,110031862907545,-6.6578976E-4,-0.0,-0.0
ACCEL,110031874362493,110031865414524,0.08319851,-0.11851298,9.697116
GYRO,110031874489732,110031865414524,-0.0017310535,-0.0010652636,-0.0
GYRO,110031874531763,110031867921503,3.9947388E-4,-0.0,0.0010652636
ACCEL,110031874564888,110031867921503,0.090381116,-0.130484,9.701904
ACCEL,110031874585774,110031870428483,0.0712275,-0.12090719,9.713875
GYRO,110031874608065,110031870428483,-6.6578976E-4,0.0010652636,-0.0
ACCEL,110031876001815,110031872935462,0.08319851,-0.12330139,9.709086
GYRO,110031876139263,110031872935462,3.9947388E-4,0.0010652636,-0.0
ACCEL,110031877872545,110031875442441,0.092775315,-0.12808979,9.69951
GYRO,110031877968326,110031875442441,3.9947388E-4,-0.0,-0.0
ACCEL,110031884211607,110031877949420,0.08080431,-0.108936176,9.6923275
ACCEL,110031884309211,110031880456399,0.08080431,-0.11611878,9.68275
GYRO,110031884328482,110031877949420,3.9947388E-4,-0.0,0.0010652636
GYRO,110031884338013,110031880456399,-6.6578976E-4,-0.0,-0.0
