timestamp_s,east_m,north_m,speed_mps,bearing_deg,accuracy_m
250.108,-1810.7386979554637,248.55972501777345,11.82,281.9,3.7900925
251.101,-1822.2333377359705,250.8384349944845,11.84,281.8,3.7900925
252.115,-1833.6842425629188,253.0447873017876,11.74,279.9,3.7900925
253.109,-1844.4550688248244,255.3702514644414,11.58,279.7,3.7900925
254.101,-1856.2011846018543,257.02223270793,11.42,276.1,3.7900925
255.121,-1867.7472129560956,257.6689989493125,11.49,275.0,3.7900925
256.118,-1879.2221720071532,258.4226319020029,11.59,273.2,3.7900925
257.117,-1890.9967155071258,258.52504583356233,11.77,270.0,3.7900925
258.113,-1902.864195787757,257.6801308985066,11.75,266.3,3.7900925
259.117,-1914.8836550401754,256.26526017051674,11.77,263.6,3.7900925
260.115,-1926.5259002978094,254.76022065501016,11.73,262.6,3.7900925
261.094,-1938.0599015399962,253.35314229131458,11.69,263.4,3.7900925
262.117,-1949.639824485158,252.0017236732357,11.59,263.4,3.7900925
263.109,-1961.2120938129253,250.61468281787714,11.6,262.8,3.7900925
264.118,-1972.6498781531109,249.18311416627307,11.68,262.8,3.7900925
265.108,-1984.365379460563,247.79384692104028,11.73,262.9,3.7900925
266.114,-1995.9168746855642,246.16301638109138,11.73,262.5,3.7900925
267.116,-2007.2857764692003,244.5533365439741,11.69,262.0,3.7900925
268.102,-2018.7618288935755,242.74216842881478,11.73,260.5,3.7900925
269.109,-2030.3242578573138,241.04343299938344,11.72,260.8,3.7900925
279.041,-2136.1989324481096,220.96028366540358,10.63,254.9,3.7900925
280.104,-2152.471616159773,218.26412559833747,10.67,252.1,3.7900925
281.096,-2161.5356857691686,214.53937543645938,10.06,250.2,3.7900925
282.101,-2169.808152675341,211.14413096729393,8.96,250.5,3.7900925
283.105,-2178.497195036586,208.479142357759,9.05,253.3,3.7900925
284.104,-2187.957065995507,205.39670565751493,9.48,254.1,3.7900925
285.105,-2197.448644797323,202.80073513231102,9.87,255.8,3.7900925
286.106,-2207.301036984426,199.87191932949466,10.11,255.7,3.7900925
287.104,-2217.3502364757564,198.08301511254663,10.36,256.4,3.7900925
288.1,-2227.8007041845904,195.40912094351475,10.56,256.6,3.7900925
289.13,-2237.3819396457216,192.80313166414234,10.16,256.2,3.7900925
290.127,-2247.228864964847,190.42757373064592,10.47,254.8,3.7900925
291.106,-2257.409269321026,188.0976567884207,10.26,257.1,3.7900925
292.114,-2266.886634262761,185.64974118569336,9.41,257.2,3.7900925
293.099,-2277.234324826907,183.03150676245522,9.99,257.8,3.7900925
294.094,-2287.346940002636,181.1401886137707,10.38,258.1,3.7900925
295.105,-2297.5776395578414,179.36798232025987,10.6,261.3,3.7900925
296.106,-2307.258372043708,175.8157773691209,10.74,255.3,3.7900925
297.112,-2317.7438277195615,172.41385373033273,11.11,253.4,3.7900925
298.117,-2328.6075907621257,169.22232392943758,11.33,253.4,3.7900925
299.099,-2339.817953329897,165.99962467101122,11.58,252.6,3.7900925
